AREACD,AREANM,Natural change,Population change,Net within UK migration,Net international migration
E06000001,Hartlepool,2.366598613,2.821673649,0.160339237,0.293910294
E06000002,Middlesbrough,5.287705697,2.877270332,-7.646429694,5.30632829
E06000003,Redcar and Cleveland,1.291256529,0.013575158,-1.364344,0.088373262
E06000004,Stockton-on-Tees,4.2120888,5.889875272,1.228567569,0.45410035
E06000005,Darlington,2.352701433,1.588532095,0.302704037,-1.089592278
E06000006,Halton,2.965526239,2.017519453,-0.65715374,-0.298701312
E06000007,Warrington,3.518010428,7.531568443,3.10047452,0.884908725
E06000008,Blackburn with Darwen,7.021639174,1.641678619,-6.362626314,0.997115236
E06000009,Blackpool,0.094360909,-0.202831986,0.607141642,-0.907062799
E06000010,"Kingston upon Hull, City of",5.545285317,2.295664714,-7.856401287,4.630029501
E06000011,East Riding of Yorkshire,-1.710829345,4.635152044,5.366108094,1.006764727
E06000012,North East Lincolnshire,2.219322448,1.10264724,-2.257495194,1.135694676
E06000013,North Lincolnshire,1.454766563,4.721646074,0.355899241,2.890588188
E06000014,York,2.489685426,6.241348124,-1.024809249,4.920499729
E06000015,Derby,6.58391415,7.134135696,-3.166843684,3.75260033
E06000016,Leicester,9.21502268,5.73356782,-7.866888934,4.475946588
E06000017,Rutland,-1.719344475,3.494639293,5.732731938,-0.540523669
E06000018,Nottingham,7.794223232,4.753134194,-11.43417852,8.681326095
E06000019,"Herefordshire, County of",-0.279954179,5.459374333,2.638065562,3.080107996
E06000020,Telford and Wrekin,4.901100917,3.886895338,-2.200279444,1.21696835
E06000021,Stoke-on-Trent,5.721330475,2.958277904,-5.282006679,2.539341744
E06000022,Bath and North East Somerset,1.564004256,4.52196202,-1.380172865,4.540210967
E06000023,"Bristol, City of",9.051735844,9.704260098,-1.460604988,2.134530917
E06000024,North Somerset,1.089858638,10.40240996,8.721702636,0.575271123
E06000025,South Gloucestershire,4.191558308,8.587777762,2.462618376,1.97973651
E06000026,Plymouth,4.11744585,3.306163564,-3.455127139,2.791766921
E06000027,Torbay,-1.54472619,3.913585194,5.434911158,0.028193393
E06000028,Bournemouth,2.888714793,8.62948603,1.295185393,4.534397953
E06000029,Poole,1.35800221,8.064742047,5.994245421,0.706352479
E06000030,Swindon,6.527226386,11.98630381,3.768913614,1.644808217
E06000031,Peterborough,9.057826682,11.37736364,-6.395224082,8.667343157
E06000032,Luton,11.47386762,12.12648623,-12.70278875,13.3399696
E06000033,Southend-on-Sea,3.298865306,7.538171054,4.950355011,-0.74265118
E06000034,Thurrock,8.095269396,10.64050591,1.680437428,0.84026455
E06000035,Medway,6.169516565,9.242962093,0.979370275,2.102343619
E06000036,Bracknell Forest,7.050343409,9.931987688,0.625319881,2.206883852
E06000037,West Berkshire,4.494031969,6.43540816,3.980980843,-2.061127364
E06000038,Reading,9.340496486,5.097746225,-6.9997593,2.790326232
E06000039,Slough,13.06005695,12.73790753,-7.141066599,6.751371793
E06000040,Windsor and Maidenhead,4.181900212,8.576572822,4.568853834,-0.237000999
E06000041,Wokingham,4.786653429,9.594958177,2.708213443,2.105859787
E06000042,Milton Keynes,8.468424749,13.85270136,4.638463927,0.687610963
E06000043,Brighton and Hove,4.89980378,6.869832675,-2.654768453,4.675891312
E06000044,Portsmouth,6.350159289,6.618663073,-4.434774694,4.885677857
E06000045,Southampton,7.385181992,6.298491568,-8.044006621,7.164708865
E06000046,Isle of Wight,-2.59888228,4.054271714,7.758168738,-1.098451033
E06000047,County Durham,1.119498261,3.845949337,1.198511127,1.583681294
E06000049,Cheshire East,0.721767825,4.107524218,3.49781116,-0.122849639
